Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,24/03/2019,Banglore,New Delhi,BLi → DEL,22:2d,01:10 22 Mar,2h 50m,non-stop,No info,54482.74954306026
,1/05/2019,kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No info,
Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,Nq info,13882.0
INDIGO,12/05/2019,Kolkata,Balglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stoj,No info,6218.0
,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302.0
SpiceJet,24/06/2019,Kolkata,BANGLORE,CCl → BLR,,11:25,2h 25m,non-stop,No info,
,12/03/2019,BANGLORE,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,11087.0
Jet Airways,01/0k/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No knfo,
Jet Airways,12/03/2019,Banglore,,BLR → BOM → DEL,08:55,10:2n 13 Mar,25h 30m,1 stop,In-flight meal not included,
Multiple carriers,27/05/2019,,Cochin,DEL → BOM → COK,11:25,19:15,,1 stop,No info,8625.0
Air India,1m06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,,8907.0
IndiGo,18/04/2019,KOLKATA,Banglore,CCU → BLR,,22:55,2h t5m,non-stop,,4174.0
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0
Jet Airways,9/05/2019,,Banglore,CCU → BOM → BLR,,09:20 10 May,12h 10m,1 stop,In-flight meal not included,
IndiGo,24/04/2019,Kolkata,,CCU → BLR,17:15,,2h 35m,non-stop,No info,4804.0
Air India,3/03/2019,Delhi,,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011.0
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830.0
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13pJun,,1 stop,In-flight meal not included,10262.0
Air India,,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,,13381.0
Jet Airweys,27/05/2019,Delhi,,DEL → BOM → COK,, 12:35 28 May ,20h 35m,1 stop,In-flight meal not included,
,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,,No info,19495.0
Air India,21/03/201s,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955.0
IndiGo,3/04/2019,Banglore,Delhi,,y4:00, 06:50 ,2h 50m,non-stop,No ineo,3943.0
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823.0
Jet Airways,6/05/2019,Kolkata,768,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757.0
Jet Airways,9/06/2t19,DELHI,Cochin,DEL → IDR → BOM → COK,,12:35 10 Jun,15h 10m,2 stops,No info,13292.0
IndiGo,1/06/2019,,,,21:50,,,,No info,8238.0
GoAir,15/05/2019,,Cochin,DEL → BOM → COK,07:00,,5h 55m,1 stop,No info,7682.0
,18/06/2019,Banglore,aelhi,BLR → DEL,09:45,,2h 50m,non-stop,No info,4668.0
Vistara,,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,54482.74954306026
Vistara,18/06/2019,,Kllkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0
Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15, 13h 25m ,2 stops,no info,13227.0
zndiGo,6/04/2019,Banglore,delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423.0
Jet Airways,15/06/2019,Delhi,,DEL → NAG → BOM → COK,14:3v,12:35 16 Jun,22h,2 stops,In/flpght meal not included,10919.0
Jet Airways,18/05/2019,Delhi,768,DEL → BOM → COK,07:05,12:35,5h 30m, 1 stop ,In-flight meal not included,12373.0
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894.0
SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649.0
Air India,18/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245.0
Jet Airways,06/03/2019,Banglore,768,BLR → BOM → DEL,07:0v,,6h 15m,1 stop, No info ,19225.0
,3/06/2019,Delhi,Cofhin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,,54482.74954306026
Multiple carriers,2v/05/2019,Delhi,Cochin,DEL → HYD → COK,,,11h 5m,1 rtop,No info,9646.0
Air India,15/03/2019, Banglore ,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,NO YNFO,8714.0
