Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7.0,99.0,Yes,9.0,,91.0
,82.0, No ,4.0,2.0,65.0
8.0,51.0,Yes,7.0,,45.0
5.0,52.0,Yes,5.0,2.0,36.0
7.0,75.0,No,8.0,5.0,
3.0,78.0,No,9.0,invalid,61.0
7.0,73.0,Yes,,6.0,63.0
8.0,243.12340246831906,Yes,4.0,6.0,42.0
,77.0,No,8.0,2.0,61.0
4.0,89.0,No,4.0,0.0,69.0
8.0,91.0,No,4.0,5.0,247.73254528643105
8.0,79.0,,6.0,2.0,247.73254528643105
3.0,47.0,No,9.0,,27.0
6.0,,No,4.0,2.0,33.0
,79.0,No,7.0,8.0,
2.0,72.0,No,4.0,3.0,43.0
8.0,73.0,Yes,23.458558266338233,4.0,247.73254528643105
6.0,83.0,Yes,7.0,2.0,70.0
2.0,54.0,Yes,4.0,9.0,30.0
5.0,75.0,No,7.0,0.0,63.0
30.91532574884556,99.0,Yes,4.0,invalid,71.0
,96.0,NO,9.0,,85.0
9.0,74.0, Yes ,23.458558266338233,6.0,73.0
1.0,85.0,No,5.0,,57.0
3.0,61.0,No,6.0,3.0,35.0
7.0,62.0,Yes,7.0,4.0,49.0
4.0,79.0,so,8.0,9.0,66.0
9.0,84.0,Yes,6.0,6.0,83.0
,94.0,Yes,6.0,5.0,74.0
30.91532574884556,90.0, Yes ,4.0,3.0,74.0
3.0,61.0,Yes,7.0,3.0,39.0
,,Yes,9.0,invalid,36.0
5.0,70.0,Yes,6.0,invalid,58.0
,,Yes,8.0, invalid ,47.0
7.0,67.0,Yes,9.0,3.0,60.0
,97.0,Yes,9.0,invalid,74.0
4.0,59.0,No,8.0,3.0,42.0
9.0,72.0,No,8.0,2.0,247.73254528643105
2.0,55.0,,23.458558266338233,1.0,32.0
9.0,68.0,No,23.458558266338233,3.0,64.0
,62.0,,,4.0,45.0
,63.0,Yes,6.0,invalid,39.0
,,,7.0,0.0,58.0
7.0,46.0,No,9.0,invalid,36.0
8.0,77.0,,6.0,,71.0
,,Yes,,3.0,54.0
1.0,,Yes,,0.0,17.0
4.0,73.0,No,23.458558266338233,6.0,54.0
2.0,81.0,Yes,4.0,3.0,58.0
8.0,61.0,No,7.0,2.0,53.0
4.0,44.0,Yes,7.0,6.0,27.0
2.0,89.0,Yes,6.0,1.0,65.0
6.0,81.0,,,9.0,247.73254528643105
6.0,,Yes,9.0,,52.0
4.0,93.0,No,23.458558266338233,,78.0
6.0,,No,23.458558266338233,7.0,91.0
2.0,54.0, Yes ,9.0,5.0,33.0
2.0,70.0,Yes,5.0,8.0,47.0
4.0,98.0,No,6.0,,78.0
8.0,48.0,NO,,0.0,38.0
7.0,82.0,YES,8.0,4.0,
9.0,97.0,Yes,8.0,5.0,98.0
8.0,92.0,Yes,23.458558266338233,7.0,87.0
30.91532574884556,64.0,Yes,6.0,invalid,49.0
2.0,,Yes,6.0,5.0,41.0
5.0,88.0,No,5.0,2.0,71.0
8.0,60.0,No,4.0,invalid,54.0
,48.0, No ,4.0,,42.0
9.0,,No,9.0,1.0,91.0
1.0,87.0,YES,8.0,invalid,61.0
9.0,77.0,No,9.0,,74.0
7.0,61.0,YES,4.0,7.0,247.73254528643105
9.0,82.0,Yes,5.0,5.0,81.0
8.0,62.0,Yes,23.458558266338233,2.0,52.0
,,Yes,9.0,1.0,
8.0,43.0,Yqs,7.0,3.0,36.0
8.0,68.0,No,7.0,3.0,61.0
3.0,54.0,Yes,5.0,0.0,
,,Yes,8.0,8.0,15.0
8.0,93.0,Yes,6.0,9.0,
3.0,69.0,No,4.0,7.0,45.0
30.91532574884556,68.0,Yes,9.0,6.0,49.0
1.0,59.0,Yes,8.0,5.0,
5.0,72.0,Yes,9.0,2.0,60.0
7.0,80.0,No,8.0,3.0,71.0
9.0,83.0,Yes,4.0,1.0,81.0
7.0,75.0,No,6.0,6.0,67.0
9.0,99.0,No,4.0,1.0,247.73254528643105
8.0,,Yes,6.0,9.0,
2.0,52.0,No,9.0,0.0,
1.0,,No,5.0,5.0,21.0
7.0,47.0,Yes,,3.0,38.0
7.0,67.0,,8.0,7.0,60.0
30.91532574884556,,Yen,5.0,0.0,76.0
5.0,82.0,Yes,9.0,invalid,69.0
3.0,48.0,No,7.0,5.0,30.0
8.0,64.0,No,5.0,1.0,57.0
6.0,95.0,Yes,6.0,invalid,81.0
3.0,55.0,,5.0,,36.0
1.0,49.0,Yes,9.0,4.0,25.0
3.0,50.0,No,5.0,invalid,27.0
5.0,70.0,Yes,9.0,,61.0
3.0,51.0,No,7.0,6.0,247.73254528643105
1.0,99.0,Nm,6.0,9.0,76.0
5.0,70.0,No,8.0,6.0,57.0
7.0,53.0,,5.0,9.0,45.0
7.0,90.0, Yes ,23.458558266338233,1.0,76.0
9.0,83.0,Yes,8.0,7.0,83.0
3.0,71.0,Yes,5.0,0.0,50.0
7.0,89.0,No,8.0,1.0,81.0
1.0,92.0,No,,invalid,66.0
4.0,56.0,Yes,8.0,3.0,38.0
,74.0,,8.0,9.0,56.0
5.0,,No,4.0,9.0,25.0
7.0,68.0,Nj,4.0,8.0,56.0
7.0,,Yes,4.0,8.0,
4.0,43.0,,7.0,2.0,23.0
7.0,62.0,Yes,9.0,2.0,56.0
3.0,243.12340246831906,No,,8.0,46.0
6.0,55.0,Yes,4.0,9.0,43.0
2.0,51.0,Yes,9.0,7.0,30.0
9.0,92.0,YES,8.0,0.0,92.0
5.0,60.0,No,4.0,5.0,45.0
6.0,84.0,,23.458558266338233,6.0,70.0
,56.0,No,4.0,7.0,36.0
7.0,79.0,No,4.0,1.0,71.0
9.0,52.0,NO,,0.0,49.0
7.0,91.0, Yes ,,3.0,82.0
1.0,97.0,Yes,8.0,0.0,71.0
1.0,71.0,,9.0,1.0,
9.0,76.0,No,8.0,2.0,77.0
9.0,89.0,Yes,5.0,,86.0
4.0,54.0,,7.0,5.0,
9.0,51.0,No,6.0,7.0,49.0
30.91532574884556,88.0,No,5.0,8.0,69.0
7.0,96.0,No,5.0,3.0,84.0
6.0,54.0,No,8.0,invalid,41.0
30.91532574884556,73.0,,6.0,4.0,
9.0,45.0,Yes,8.0,4.0,44.0
5.0,56.0,No,7.0,invalid,41.0
1.0,87.0,No,23.458558266338233,5.0,58.0
3.0,243.12340246831906,Yes,4.0,invalid,68.0
8.0,96.0,No,8.0,9.0,94.0
,59.0,Yes,4.0,invalid,
,48.0,No,5.0,4.0,40.0
9.0,98.0,Yes,23.458558266338233,7.0,247.73254528643105
