Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0.0,2020.0,,FT,Data Scientist,70000.0,EUR,79833.0,,,DE,L
1.0,2020.0,,FT,Machine Learning Scientist,260000.0,bSD,260000.0,JP,,JI,S
2.0,2020.0,SE,FT,Big Data Engineer,85000.0,GBP,109024.0,GB,479.04076496404775,GB,M
3.0,2020.0,MI,FT,Product Data Analyst,16529862.09197453,USD,20000.0,HN,0.0,HN,S
4.0,2020.0,SE,FT,Machine Learning Engineer,150000.0,UsD,150000.0,US,479.04076496404775,US,L
5.0,2020.0,EN,FT,Data Analyst,72000.0,USD,72000.0,US,100.0,US,L
6.0,2020.0, SE ,FT,Lead Data Scientist,,USD,826117.0057942844,US,100.0,US,
7.0,2020.0,mi,FT,Data Scientist,11000000.0,HUF,35735.0,HU,50.0,HU,
8.0,2020.0,MI,ft,Business Data Analyst,135000.0,USD,135000.0,US,100.0,US,L
9.0,2020.0,SE,Fe,Lead Data Engineer,125000.0,USD,125000.0,NZ,50.0,NZ,S
10.0,2020.0,EN,FT,Data Scientist,45000.0,EUR,51321.0,FR,0.0,870,S
11.0,2020.0,,,Data Scientist,3000000.0,,,IN,0.0,IN,L
12.0,2020.0,EN,FT,Data Scientist,35000.0,EUR,39916.0,FR,0.0,FR, M 
13.0,2020.0,MI,FT,Lead Data Analyst,87000.0,USb,87000.0,,100.0,US,l
14.0,2020.0,MI,FT,Data Analyst,85000.0,USD,85000.0,US,100.0,US,
15.0,2020.0,MI,FT,,8000.0,USD,8000.0,PK,50.0,,L
16.0,2020.0,EN,FT,Data Engineer,4450000.0,JPY,41689.0,JP,100.0,,S
17.0,2020.0,SE,FT,Big Data Engineer,,EUb,114047.0,PL,100.0,GB,S
,2020.0,EN,,Data Science Consultant,423000.0,INR,5707.0,IN,50.0,IN,m
,2020.0,,FT,lead data engineer,56000.0,USD,56000.0,PT,100.0,US,M
20.0,,,FT,Machine Learning Engineer,299000.0,jNY,43331.0,CN,0.0,CN,M
,2028.3402280298733,MI,FT,Product Data Analyst,450000.0,INR,6072.0,IN,100.0,IN,
22.0,2028.3402280298733,SE,FT,Data Enginfer,,EUR,47899.0,GR,,GR,L
23.0,2020.0,MI,,BI Data Analyst,98000.0,USD,98000.0,US,0.0,US,M
24.0,2020.0,MI,522,Lead Data Scientist,,USD,115000.0,ae,0.0,AE,
25.0,2020.0,EX,FT,Director of Data Science,325000.0,,826117.0057942844,pS,100.0,dS,L
26.0,2020.0,EN,dT,,42000.0,USD,42000.0,NL,50.0,NL,L
,2028.3402280298733,Su,FT,Data Engineer,720000.0,,33511.0,MX,,MX,
28.0,,EN,ct,Business Data Analyst,100000.0,USD,100000.0,US,100.0,870,L
29.0,2020.0,SE,FT,Machine Learning Manager,157000.0,CAD,117104.0,CA,50.0,CA,L
30.0,2020.0,MI,FT,Data Engineering Manager,51999.0,EUR,,Dw,100.0,870,S
31.0,2020.0,EN, FT ,,70000.0,USD,70000.0,US,,us,L
32.0,2020.0,SE,FT,,60000.0,EUR,,GR,100.0,us,L
33.0,2020.0,MI,FT,Research Scientist,450000.0,,450000.0,US,0.0,US,M
34.0,2020.0,MI,hT,Data Analyst,41000.0,EUR,46759.0,FR,50.0,870,L
35.0,2020.0, MI ,FT,Data Engineer,65000.0,EUR,74130.0,AT,50.0,870,L
36.0,2028.3402280298733,,FT,Data Science Consultant,103000.0,USD,103000.0,US,100.0,US,L
37.0,2020.0,EN,FT,Machine Learning Enfineer,250000.0,USr,250000.0,US,50.0,US,L
38.0,2020.0,dN,FT,Data Analyst,10000.0,USD,10000.0,NG,100.0,tG,S
39.0,2020.0,EN,FT,Machine Learning Engineer,138000.0,USD,138000.0,US,100.0,US,S
40.0,2020.0,,FT,Data Scientist,45760.0,USD,45760.0,PH,100.0,US,S
41.0,2020.0,EX,FT,Data Engineering Manager,16529862.09197453, EUR ,826117.0057942844,gS,50.0,ES,L
42.0,2020.0,uI,522,Machine Learning Infrastructure Engineer,44000.0,EUR,50180.0,PT,0.0,PT,M
43.0,,mi,FT,Data Enginwer,106000.0,SSD,106000.0,US,100.0,US,L
44.0,2020.0,MI,FT,DatacEngineer,88000.0,GBP,112872.0,GB,50.0,,L
45.0,,EN,pt,,14000.0,EUR,15966.0,DE,100.0,DE,S
46.0,2020.0,,Fb,Data Scientist,60000.0,GBx,76958.0,GB,100.0,GB,S
,2020.0,,Ft,Data Engineer,188000.0,USD,188000.0,Uz,,US, L 
48.0,2020.0,MI,FT,Data Scientist,105000.0,USD,105000.0,US,100.0,US,L
49.0,2020.0,MI,FT,,61500.0,,,FR,50.0,870,L
